slice,porosity,n_components,max_area,p50_area,p90_area,small_1_20,large_gt_1000,score
138,0.21358367346938775,69,5266,104.0,831.6,14,5,4.956394470790429
149,0.1806530612244898,82,6015,50.0,728.0000000000009,22,6,4.929232291330484
283,0.21962448979591837,68,3971,91.0,1364.6000000000022,14,8,4.928742473149853
250,0.20440816326530611,69,4117,112.0,790.6000000000001,17,5,4.917430694431349
151,0.1832326530612245,80,3942,57.0,760.2000000000018,24,7,4.883391510760966
251,0.19881632653061224,71,3502,82.0,806.0,19,5,4.860918929405724
345,0.21419591836734694,60,2993,92.5,1702.9,16,9,4.857551171985608
344,0.2123265306122449,60,3203,72.5,1747.7000000000003,16,8,4.85593708471124
235,0.20804897959183674,65,4438,119.0,1291.2,15,8,4.844360440230481
340,0.22612244897959183,66,4054,117.5,1305.5,12,7,4.818408234615438
267,0.18125714285714287,89,2271,78.0,695.0000000000001,30,5,4.810434229220521
263,0.19316734693877552,84,1900,52.5,1025.6000000000001,26,9,4.806779043818587
165,0.20676734693877552,60,5339,100.0,761.5000000000002,14,5,4.805923062011876
156,0.1826122448979592,78,6516,62.5,670.4999999999997,19,5,4.804350733972831
262,0.19445714285714286,81,2293,64.0,1048.0,23,9,4.782079701153529
301,0.19976326530612246,73,2828,60.0,1020.1999999999998,19,8,4.7561869951054545
243,0.2133469387755102,65,4643,114.0,923.4000000000001,13,6,4.753889395269116
343,0.2121469387755102,66,3227,95.0,1514.0,15,8,4.752400702380725
347,0.2208,49,3438,99.0,1855.000000000002,13,10,4.744920231812581
266,0.17717551020408162,87,3000,57.0,647.8000000000003,27,5,4.727036352421512
241,0.22101224489795918,57,4947,171.0,1136.2,11,8,4.671856652151439
254,0.19772244897959185,66,3912,78.5,1015.0,16,7,4.633924094302799
158,0.18164897959183673,79,3396,58.0,740.8000000000002,22,5,4.630886367254303
256,0.18842448979591836,71,4152,48.0,1045.0,18,8,4.622400810129604
163,0.1971265306122449,67,3788,78.0,755.5999999999997,16,6,4.601972863902077
253,0.19725714285714285,60,3759,153.0,1153.5000000000002,16,7,4.600728134677372
144,0.1970204081632653,77,3639,64.0,692.2,16,6,4.577101253170799
143,0.20133061224489796,82,3607,64.5,716.7000000000004,15,6,4.572222550580094
159,0.1846938775510204,79,3383,49.0,710.4000000000001,20,5,4.56974517990899
300,0.20593469387755103,64,2886,136.5,1213.3000000000009,15,8,4.549491253722867
252,0.19702857142857144,67,3423,111.0,779.8,16,6,4.54314198066164
265,0.18080816326530613,85,3007,49.0,758.4000000000012,22,6,4.5405033035103814
171,0.21660408163265307,67,5551,93.0,1114.9999999999998,10,8,4.478169308813861
264,0.19103673469387755,82,1856,64.0,996.600000000002,21,9,4.444546719142668
348,0.212734693877551,57,3396,96.0,1745.7999999999988,12,7,4.4365182803311525
162,0.19048163265306123,61,5231,97.0,697.0,14,4,4.4168523354149976
319,0.2062448979591837,78,3217,78.5,821.8999999999996,13,6,4.395983566293873
303,0.20419591836734693,68,2549,121.5,1223.5000000000025,14,8,4.337434926950611
146,0.18317551020408163,79,3981,56.0,876.2000000000005,16,8,4.302066239357029
242,0.2170530612244898,56,4747,155.0,1402.5,9,7,4.230903580928569
